SKU,Nombre,Medidas,Inventario,Imágenes
74148,Barça Toons *Neymar*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,76,https://tartarizados.com/wp-content/uploads/2023/02/5B741485D20Barca20Toons20Neymar20Celebrando20Gol.jpg
99717,Barça Toons *Neymar*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,631,https://tartarizados.com/wp-content/uploads/2023/02/5B997175D20Barca20Toons20Neymar.jpg
EF10448,Barça Toons *Pedri*,Ancho(mm): 0 Alto(mm): 70 Fondo(mm): 0 Capacidad(ml): 0 Diámetro(mm): 0 Unidad de medida: 1 u.,125,https://tartarizados.com/wp-content/uploads/2023/02/5BEF104485D20Barca20Toons20Pedri.jpg
74116,Barça Toons *Pedro*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,205,https://tartarizados.com/wp-content/uploads/2023/02/5B741165D20Barca20Toons20Pedro.jpg
74140,Barça Toons *Rakitic*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,27,https://tartarizados.com/wp-content/uploads/2023/02/5B741405D20Barca20Toons20Rakitic.jpg
74142,Barça Toons *Suarez*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,128,https://tartarizados.com/wp-content/uploads/2023/02/5B741425D20Barca20Toons20Suarez.jpg
74161,Barça Toons *Ter Stegen*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,0,https://tartarizados.com/wp-content/uploads/2023/02/5B741615D20Barca20Toons20Ter20Stegen.jpg
74166,Barça Toons *Umtiti*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,26,https://tartarizados.com/wp-content/uploads/2023/02/5B741665D20Barca20Toons20Umtiti.jpg
74108,Barça Toons *Xavi*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,59,https://tartarizados.com/wp-content/uploads/2023/02/5B741085D20Barca20Toons20Xavi.jpg
74126,Barça Toons *Puyol*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,37,https://tartarizados.com/wp-content/uploads/2023/02/5B741265D20Barca20Toons202a20Equipacion20Puyol.jpg
